title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,9136,
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.4,7956,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2372286,
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,526140,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,453472,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,663244,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147784,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1228825,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,489391,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,251782,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1375597,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,852556,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1071824,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,551080,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,836763,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,465259,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106473,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11275,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,975719,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,475738,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,944074,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,385008,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,550010,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2102409,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1868450,
